window,aditya,alice,amal,annie,christopher,edridge,grace,kavin,phillip,raghav,sangeetha,sarah,talitha,vishwa,yuliya
2019-05-31 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-02 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-02 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-04 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-04 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-05 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-05 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-06 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-06 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-07 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-07 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-08 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-08 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-09 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-09 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-10 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-10 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-11 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-11 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-12 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-12 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-13 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-13 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-14 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-14 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-15 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-15 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-16 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-16 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-17 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-17 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-18 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-18 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-19 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-19 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-20 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-20 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-21 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-21 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-22 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-22 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-23 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-23 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-24 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-24 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-25 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-25 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-26 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-26 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-27 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-27 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-28 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-28 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-29 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-29 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-02 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-02 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-03 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-03 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-04 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-04 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-05 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-05 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-06 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-06 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-07 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-07 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-08 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-08 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-09 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-09 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-10 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-10 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-11 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-11 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-13 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-13 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-14 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-14 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-16 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-16 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-17 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-17 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-18 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-18 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-19 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-19 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-20 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-20 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-21 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-21 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-22 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-22 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-23 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-23 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-24 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-24 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-25 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-25 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-26 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-26 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-27 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-27 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-28 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-28 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-29 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-29 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-30 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-30 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31 01:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31 13:59:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
